,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
304,How to Train Your Dragon 2,2014,7.8,76        ,295986,PG,https://imdb.com/title/tt1646971/,Animation,Action,Adventure,Jay Baruchel,Cate Blanchett,Gerard Butler,0,1,14,1460,102,145000000,621537519
305,Transformers: Age of Extinction,2014,5.6,32        ,293190,PG-13,https://imdb.com/title/tt2109248/,Action,Adventure,Sci-Fi,Mark Wahlberg,Nicola Peltz,Jack Reynor,0,0,5,23,165,210000000,1104054072
306,Neighbors,2014,6.3,68        ,278684,R,https://imdb.com/title/tt2004420/,Comedy,,,Seth Rogen,Rose Byrne,Zac Efron,0,0,6,11,97,18000000,270665134
307,300: Rise of an Empire,2014,6.2,48        ,274923,R,https://imdb.com/title/tt1253863/,Action,Drama,,Sullivan Stapleton,Eva Green,Lena Headey,0,0,2,7,102,110000000,337580051
308,Non-Stop,2014,6.9,56        ,245018,PG-13,https://imdb.com/title/tt2024469/,Action,Mystery,Thriller,Liam Neeson,Julianne Moore,Scoot McNairy,0,0,0,1,106,50000000,222809600
309,Predestination,2014,7.5,69        ,242533,R,https://imdb.com/title/tt2397535/,Action,Adventure,Drama,Ethan Hawke,Sarah Snook,Noah Taylor,0,0,12,19,97,,4824499
310,Noah,2014,5.7,68        ,238497,PG-13,https://imdb.com/title/tt1959490/,Action,Adventure,Drama,Russell Crowe,Jennifer Connelly,Anthony Hopkins,0,1,1,118,138,125000000,359200044
311,RoboCop,2014,6.1,52        ,212513,PG-13,https://imdb.com/title/tt1234721/,Action,Crime,Sci-Fi,Joel Kinnaman,Gary Oldman,Michael Keaton,0,0,4,1,117,100000000,242688965
312,Transcendence,2014,6.3,42        ,212359,PG-13,https://imdb.com/title/tt2209764/,Action,Drama,Sci-Fi,Johnny Depp,Rebecca Hall,Morgan Freeman,0,0,3,5,119,100000000,103039258
313,It Follows,2014,6.8,83        ,200367,R,https://imdb.com/title/tt3235888/,Horror,Mystery,Thriller,Maika Monroe,Keir Gilchrist,Olivia Luccardi,0,0,25,41,100,1000000,21528593
314,Teenage Mutant Ninja Turtles,2014,5.8,31        ,197590,PG-13,https://imdb.com/title/tt1291150/,Action,Adventure,Comedy,Megan Fox,Will Arnett,William Fichtner,0,0,1,10,101,125000000,485004754
315,Chef,2014,7.3,68        ,188052,R,https://imdb.com/title/tt2883512/,Adventure,Comedy,Drama,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,0,0,2,4,114,11000000,48428048
316,Taken 3,2014,6.0,26        ,174345,PG-13,https://imdb.com/title/tt2446042/,Action,Thriller,,Liam Neeson,Forest Whitaker,Maggie Grace,0,0,3,2,108,48000000,326479141
317,Dracula Untold,2014,6.3,40        ,172881,PG-13,https://imdb.com/title/tt0829150/,Action,Drama,Fantasy,Luke Evans,Dominic Cooper,Sarah Gadon,0,0,3,5,92,70000000,217124280
318,The Judge,2014,7.4,48        ,171536,R,https://imdb.com/title/tt1872194/,Crime,Drama,,Robert Downey Jr.,Robert Duvall,Vera Farmiga,0,1,3,38,141,50000000,84419388
319,A Million Ways to Die in the West,2014,6.1,44        ,167596,R,https://imdb.com/title/tt2557490/,Comedy,Western,,Seth MacFarlane,Charlize Theron,Liam Neeson,0,0,0,6,116,40000000,87189756
320,Wild Tales,2014,8.1,77        ,167449,R,https://imdb.com/title/tt3011894/,Comedy,Drama,Thriller,Darío Grandinetti,María Marull,Mónica Villa,182,1,48,4854,122,3300000,30642704
321,The Expendables 3,2014,6.1,35        ,164653,PG-13,https://imdb.com/title/tt2333784/,Action,Adventure,Thriller,Sylvester Stallone,Jason Statham,Jet Li,0,0,2,5,126,90000000,214657577
322,Need for Speed,2014,6.4,39        ,160211,PG-13,https://imdb.com/title/tt2369135/,Action,Crime,Thriller,Aaron Paul,Dominic Cooper,Imogen Poots,0,0,1,4,132,66000000,203277636
323,Exodus: Gods and Kings,2014,6.0,52        ,156609,PG-13,https://imdb.com/title/tt1528100/,Action,Drama,Fantasy,Christian Bale,Joel Edgerton,Ben Kingsley,0,0,0,5,150,140000000,268175631
324,Horrible Bosses 2,2014,6.3,40        ,153573,R,https://imdb.com/title/tt2170439/,Comedy,Crime,,Jason Bateman,Jason Sudeikis,Charlie Day,0,0,1,3,108,42000000,107645357
325,Sin City: A Dame to Kill For,2014,6.5,46        ,148853,R,https://imdb.com/title/tt0458481/,Action,Crime,Thriller,Mickey Rourke,Jessica Alba,Josh Brolin,0,0,4,6,102,65000000,39407616
326,What We Do in the Shadows,2014,7.7,76        ,147144,R,https://imdb.com/title/tt3416742/,Comedy,Horror,,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,0,0,26,18,86,1600000,6979001
327,Hercules,2014,6.0,47        ,142761,PG-13,https://imdb.com/title/tt1267297/,Action,Adventure,Fantasy,Dwayne Johnson,John Hurt,Ian McShane,0,0,0,2,98,100000000,244819862
328,Unbroken,2014,7.2,59        ,140905,PG-13,https://imdb.com/title/tt1809398/,Biography,Drama,Sport,Jack O'Connell,Miyavi,Domhnall Gleeson,0,3,15,1529,137,65000000,161459297
329,The Drop,2014,7.1,69        ,138855,R,https://imdb.com/title/tt1600196/,Crime,Drama,Thriller,Tom Hardy,Noomi Rapace,James Gandolfini,0,0,4,5,106,12600000,18658381
330,Annabelle,2014,5.4,37        ,135421,R,https://imdb.com/title/tt3322940/,Horror,Mystery,Thriller,Ward Horton,Annabelle Wallis,Alfre Woodard,0,0,3,7,99,6500000,257047661
