,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
544,Dunkirk,2017,7.9,94        ,521281,PG-13,https://imdb.com/title/tt5013056/,Action,Drama,History,Fionn Whitehead,Barry Keoghan,Mark Rylance,0,3,64,64229,106,100000000,526940665
545,Spider-Man: Homecoming,2017,7.4,73        ,487296,PG-13,https://imdb.com/title/tt2250912/,Action,Adventure,Sci-Fi,Tom Holland,Michael Keaton,Robert Downey Jr.,0,0,7,9,133,175000000,880166924
546,Get Out,2017,7.7,85        ,463681,R,https://imdb.com/title/tt5052448/,Horror,Mystery,Thriller,Daniel Kaluuya,Allison Williams,Bradley Whitford,0,1,152,152201,104,4500000,256889576
547,It,2017,7.3,69        ,436330,R,https://imdb.com/title/tt1396484/,Horror,,,Bill Skarsgård,Jaeden Martell,Finn Wolfhard,0,0,8,45,135,35000000,701796444
548,Blade Runner 2049,2017,8.0,81        ,433346,R,https://imdb.com/title/tt1856101/,Action,Drama,Mystery,Harrison Ford,Ryan Gosling,Ana de Armas,0,2,97,97159,164,150000000,259239658
549,Baby Driver,2017,7.6,86        ,414039,R,https://imdb.com/title/tt3890160/,Action,Crime,Drama,Ansel Elgort,Jon Bernthal,Jon Hamm,0,3,42,4262,113,34000000,226945087
550,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88        ,402547,R,https://imdb.com/title/tt5027774/,Comedy,Crime,Drama,Frances McDormand,Woody Harrelson,Sam Rockwell,151,2,130,130226,115,15000000,160192031
551,Justice League,2017,6.4,45        ,366068,PG-13,https://imdb.com/title/tt0974015/,Action,Adventure,Fantasy,Ben Affleck,Gal Gadot,Jason Momoa,0,0,2,13,120,300000000,657924295
552,The Shape of Water,2017,7.3,87        ,352387,R,https://imdb.com/title/tt5580390/,Adventure,Drama,Fantasy,Sally Hawkins,Octavia Spencer,Michael Shannon,0,4,134,134349,123,19400000,195333312
553,John Wick: Chapter 2,2017,7.5,75        ,346281,R,https://imdb.com/title/tt4425200/,Action,Crime,Thriller,Keanu Reeves,Riccardo Scamarcio,Ian McShane,0,0,4,6,122,40000000,171539887
554,Coco,2017,8.4,81        ,343007,PG,https://imdb.com/title/tt2380307/,Animation,Adventure,Family,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,75,2,108,10837,105,175000000,807082196
555,Jumanji: Welcome to the Jungle,2017,6.9,58        ,303132,PG-13,https://imdb.com/title/tt2283362/,Action,Adventure,Comedy,Dwayne Johnson,Karen Gillan,Kevin Hart,0,0,5,14,119,90000000,962102237
556,Beauty and the Beast,2017,7.1,65        ,260680,PG,https://imdb.com/title/tt2771200/,Family,Fantasy,Musical,Emma Watson,Dan Stevens,Luke Evans,0,2,15,1571,129,160000000,1263521126
557,Kong: Skull Island,2017,6.6,62        ,259276,PG-13,https://imdb.com/title/tt3731562/,Action,Adventure,Fantasy,Tom Hiddleston,Samuel L. Jackson,Brie Larson,0,1,1,119,118,185000000,566652812
