movie,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,years
Duel to the Death,7.2,64.0,1641.0,1.0,Action,Drama,Drama,Norman Chu,Damian Lau,Flora Chong-Leen,0.0,0.0,2.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Phar Lap,7.3,55.0,1584.0,2.0,Biography,Drama,Family,Tom Burlinson,Judy Morris,Martin Vaughan,0.0,4.0,5.0,103.28243887592573,43819528.982781656,2878404.0,1983
Mortuary,5.2,64.0,1572.0,1.0,Horror,Horror,Horror,Mary Beth McDonough,David Wysocki,Bill Paxton,0.0,0.0,0.0,91.0,250000.0,4319001.0,1983
Going Berserk,5.3,64.0,1556.0,1.0,Comedy,Comedy,Comedy,John Candy,Joe Flaherty,Eugene Levy,0.0,0.0,0.0,84.0,43819528.982781656,53160295.192035295,1983
Entre Nous,7.1,64.0,1546.0,2.0,Biography,Drama,War,Miou-Miou,Isabelle Huppert,Guy Marchand,1.0,2.0,6.0,110.0,43819528.982781656,3974975.0,1983
Fantasy Mission Force,4.7,64.0,1537.0,1.0,Action,Adventure,Comedy,Jackie Chan,Brigitte Lin,Jimmy Wang Yu,0.0,0.0,0.0,90.0,43819528.982781656,53160295.192035295,1983
Metalstorm: The Destruction of Jared-Syn,3.8,64.0,1522.0,2.0,Action,Adventure,Romance,Jeffrey Byron,Michael Preston,Tim Thomerson,0.0,0.0,1.0,84.0,43819528.982781656,5301085.0,1983
Cross Creek,7.0,64.0,1514.0,2.0,Biography,Drama,Romance,Mary Steenburgen,Rip Torn,Peter Coyote,4.0,2.0,3.0,127.0,43819528.982781656,53160295.192035295,1983
Lianna,6.7,64.0,1509.0,1.0,Drama,Romance,Romance,Linda Griffiths,Jane Hallaren,Jon DeVries,0.0,0.0,0.0,110.0,300000.0,1530839.0,1983
Heat and Dust,6.6,64.0,1505.0,1.0,Drama,Romance,Romance,Julie Christie,Greta Scacchi,Christopher Cazenove,1.0,1.0,8.0,130.0,43819528.982781656,1772889.0,1983
