,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
180,UglyDolls,201,4.9,39.0,4933.0,PG,https://imdb.com/title/tt1946502/,49.0
181,Seberg,201,5.5,54.0,3616.0,R,https://imdb.com/title/tt1780967/,55.0
182,Trauma Center,201,4.7,,5124.0,R,https://imdb.com/title/tt9625664/,47.0
183,The Farewell,201,7.6,89.0,41091.0,PG,https://imdb.com/title/tt8637428/,76.0
184,Dirty Sexy Saint,201,5.7,,382.0,R,https://imdb.com/title/tt10969656/,57.0
185,Escape Room,201,6.3,48.0,75258.0,PG-13,https://imdb.com/title/tt5886046/,63.0
186,The Last Full Measure,201,6.6,51.0,4124.0,R,https://imdb.com/title/tt0783640/,66.0
187,Child's Play,201,5.8,48.0,38600.0,R,https://imdb.com/title/tt8663516/,58.0
188,Brightburn,201,6.1,44.0,71331.0,R,https://imdb.com/title/tt7752126/,61.0
189,The Art of Racing in the Rain,201,7.5,43.0,19581.0,PG,https://imdb.com/title/tt1478839/,75.0
190,The Report,201,7.2,66.0,26584.0,R,https://imdb.com/title/tt8236336/,72.0
191,The Secret Life of Pets 2,201,6.5,55.0,44352.0,PG,https://imdb.com/title/tt5113040/,65.0
192,Troop Zero,201,6.9,59.0,6612.0,PG,https://imdb.com/title/tt2404465/,69.0
193,The Aeronauts,201,6.6,60.0,22371.0,PG-13,https://imdb.com/title/tt6141246/,66.0
194,Serenity,201,5.3,37.0,32193.0,R,https://imdb.com/title/tt6476140/,53.0
195,The Laundromat,201,6.3,57.0,38976.0,R,https://imdb.com/title/tt5865326/,63.0
196,Late Night,201,6.5,70.0,23725.0,R,https://imdb.com/title/tt6107548/,65.0
197,The Personal History of David Copperfield,201,6.4,75.0,3858.0,PG,https://imdb.com/title/tt6439020/,64.0
198,Blow the Man Down,201,6.4,72.0,4318.0,R,https://imdb.com/title/tt8299768/,64.0
199,Dolemite Is My Name,201,7.3,76.0,46582.0,R,https://imdb.com/title/tt8526872/,73.0
200,Line of Duty,201,5.4,50.0,2401.0,R,https://imdb.com/title/tt3541524/,54.0
201,Swallow,201,6.4,65.0,7238.0,R,https://imdb.com/title/tt8372298/,64.0
202,How to Train Your Dragon: The Hidden World,201,7.5,71.0,94029.0,PG,https://imdb.com/title/tt2386490/,75.0
203,47 Meters Down: Uncaged,201,5.0,43.0,16626.0,PG-13,https://imdb.com/title/tt7329656/,50.0
204,The Last Black Man in San Francisco,201,7.3,83.0,11411.0,R,https://imdb.com/title/tt4353250/,73.0
205,The Good Liar,201,6.6,55.0,17177.0,R,https://imdb.com/title/tt5563334/,66.0
206,The Informer,201,6.5,61.0,13299.0,R,https://imdb.com/title/tt1833116/,65.0
207,Countdown,201,5.4,31.0,18572.0,PG-13,https://imdb.com/title/tt10039344/,54.0
208,Lady and the Tramp,201,6.3,48.0,12875.0,PG,https://imdb.com/title/tt8096832/,63.0
209,Tolkien,201,6.8,48.0,28134.0,PG-13,https://imdb.com/title/tt3361792/,68.0
210,Sound of Metal,201,7.0,87.0,288.0,R,https://imdb.com/title/tt5363618/,70.0
211,The Two Popes,201,7.6,75.0,93980.0,PG-13,https://imdb.com/title/tt8404614/,76.0
212,Togo,201,8.0,69.0,28228.0,PG,https://imdb.com/title/tt5116302/,80.0
213,The Silence,201,5.3,25.0,33678.0,PG-13,https://imdb.com/title/tt7315484/,53.0
214,Jurassic World: Fallen Kingdom,201,6.2,51.0,250792.0,PG-13,https://imdb.com/title/tt4881806/,62.0
215,BlacKkKlansman,201,7.5,83.0,195484.0,R,https://imdb.com/title/tt7349662/,75.0
216,Ready Player One,201,7.5,64.0,346116.0,PG-13,https://imdb.com/title/tt1677720/,75.0
217,Black Panther,201,7.3,88.0,584844.0,PG-13,https://imdb.com/title/tt1825683/,73.0
218,Avengers: Infinity War,201,8.5,68.0,781003.0,PG-13,https://imdb.com/title/tt4154756/,85.0
