,movie,year,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross
3764,Martial Arts of Shaolin,1986,6.6,7.8,1857,1,Action,Drama,,Jet Li,Jianqiang Hu,Qiuyan Huang,0,0.0,1.0,90.0,15000000.0,
3765,Eliminators,1986,4.7,7.8,1805,2,Action,Adventure,Fantasy,Andrew Prine,Denise Crosby,Patrick Reynolds,0,0.0,0.0,96.0,,4601256.0
3766,Born to Defense,1986,5.7,7.8,1793,1,Action,War,,Jet Li,Keith Anthony,Kaiming Chen,0,0.0,0.0,120.0,,
3767,My Chauffeur,1986,5.7,37.0,1746,1,Comedy,,,Deborah Foreman,Sam J. Jones,Sean McClory,0,0.0,0.0,97.0,,4781448.0
3768,Heat,1986,5.6,7.8,1742,1,Action,Crime,Drama,Burt Reynolds,Karen Young,Peter MacNicol,0,0.0,0.0,101.0,17000000.0,2793214.0
3769,Born American,1986,4.1,35.0,1740,1,Action,Drama,Thriller,Mike Norris,Steve Durham,David Coburn,0,0.0,0.0,97.0,3401376.0,3388020.0
3770,Killer Party,1986,5.1,7.8,1709,1,Comedy,Horror,,Martin Hewitt,Ralph Seymour,Elaine Wilkes,0,0.0,0.0,91.0,,
3771,Hamburger: The Motion Picture,1986,5.0,15.0,1680,1,Comedy,,,Leigh McCloskey,Dick Butkus,Randi Brooks,0,0.0,0.0,90.0,,
3772,Eye of the Tiger,1986,5.8,7.8,1678,1,Action,Drama,,Gary Busey,Yaphet Kotto,Seymour Cassel,0,0.0,0.0,92.0,3000000.0,
3773,The Brotherhood of Justice,1986,5.5,7.8,1615,1,Action,Crime,Drama,Keanu Reeves,Kiefer Sutherland,Lori Loughlin,0,0.0,0.0,97.0,,
3774,Deadtime Stories,1986,4.8,7.8,1594,1,Comedy,Horror,,Scott Valentine,Nicole Picard,Matt Mitler,0,0.0,0.0,93.0,,2750741.0
3775,Tai-Pan,1986,5.6,7.8,1538,1,Adventure,,,Bryan Brown,Joan Chen,John Stanton,0,0.0,2.0,127.0,25000000.0,4007250.0
3776,The Quest,1986,6.2,7.8,1493,2,Adventure,Drama,Family,Henry Thomas,Tony Barry,Rachel Friend,0,1.0,3.0,93.0,3880000.0,
3777,Jo Jo Dancer Your Life Is Calling,1986,6.4,7.8,1479,1,Biography,Comedy,Drama,Richard Pryor,Debbie Allen,Art Evans,0,0.0,1.0,97.0,14000000.0,18034150.0
3778,Body Count,1986,4.7,7.8,1453,1,Horror,Mystery,,Bruce Penhall,Mimsy Farmer,David Hess,0,0.0,1.0,104.13054509110479,,
3779,Fire with Fire,1986,6.6,7.8,1448,3,Drama,Romance,,Craig Sheffer,Virginia Madsen,Jon Polito,0,0.0,0.0,103.0,,4636169.0
3780,Never Too Young to Die,1986,4.9,7.8,1436,1,Action,Adventure,Comedy,John Stamos,Vanity,Gene Simmons,0,0.0,0.0,97.0,3000000.0,
3781,Vicious Lips,1986,4.6,7.8,1380,1,Horror,Music,Sci-Fi,Dru-Anne Perry,Gina Calabrese,Linda Kerridge,0,0.0,0.0,84.0,,
3782,American Anthem,1986,4.7,7.8,1376,3,Drama,Sport,,Mitchell Gaylord,Tiny Wells,Janet Jones,0,0.0,1.0,102.0,,4845724.0
3783,The Millionaires' Express,1986,7.1,7.8,1366,3,Action,Comedy,Western,Sammo Kam-Bo Hung,Biao Yuen,Olivia Cheng,0,0.0,1.0,104.13054509110479,,
3784,A Fine Mess,1986,4.8,35.0,1326,2,Action,Comedy,Crime,Ted Danson,Howie Mandel,Richard Mulligan,0,0.0,0.0,90.0,,6029824.0
3785,That's Life!,1986,6.0,7.8,1299,3,Comedy,Drama,,Jack Lemmon,Julie Andrews,Sally Kellerman,1,,,102.0,,4079895.0
3786,Modern Girls,1986,5.9,7.8,1231,3,Comedy,,,Daphne Zuniga,Virginia Madsen,Cynthia Gibb,0,0.0,0.0,84.0,,604849.0
3787,Out of Bounds,1986,5.5,7.8,1207,1,Action,Crime,Drama,Anthony Michael Hall,Jenny Wright,Jeff Kober,0,0.0,0.0,93.0,,5099316.0
3788,Stewardess School,1986,4.3,7.8,1170,1,Action,Comedy,,Brett Cullen,Mary Cadorette,Don Most,0,0.0,0.0,89.0,,136158.0
3789,Dogs in Space,1986,6.6,43.0,1131,1,Drama,,,Michael Hutchence,Saskia Post,Nique Needles,0,0.0,0.0,103.0,,
3790,Legacy of Rage,1986,6.1,7.8,1127,1,Action,,,Brandon Lee,Michael Wong,Regina Kent,0,0.0,1.0,104.13054509110479,,
3791,America 3000,1986,4.5,7.8,1120,3,Action,Adventure,Sci-Fi,Chuck Wagner,Laurene Landon,William Wallace,0,0.0,0.0,92.0,2000000.0,
