Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
156;The Lego Movie 2: The Second Part;2019;6.6;65;50019;PG;https://imdb.com/title/tt3513498/;Animation;Action;Adventure;Chris Pratt;Elizabeth Banks;Will Arnett;0;0;1;15;107;99000000;192306508
157;Midway;2019;6.7;47;48760;PG-13;https://imdb.com/title/tt6924650/;Action;Adventure;Drama;Ed Skrein;Patrick Wilson;Woody Harrelson;0;0;0;1;138;100000000;125589169
158;Dolemite Is My Name;2019;7.3;76;46698;R;https://imdb.com/title/tt8526872/;Biography;Comedy;Drama;Eddie Murphy;Keegan-Michael Key;Mike Epps;0;2;30;59;118;;
159;Captive State;2019;6.0;54;45146;PG-13;https://imdb.com/title/tt5968394/;Action;Adventure;Drama;John Goodman;Ashton Sanders;Jonathan Majors;0;0;0;2;109;25000000;8808611
160;The Secret Life of Pets 2;2019;6.5;55;44427;PG;https://imdb.com/title/tt5113040/;Animation;Adventure;Comedy;Patton Oswalt;Kevin Hart;Harrison Ford;0;0;0;11;86;80000000;430051293
161;A Beautiful Day in the Neighborhood;2019;7.3;80;44403;PG;https://imdb.com/title/tt3224458/;Biography;Drama;;Tom Hanks;Matthew Rhys;Chris Cooper;0;1;4;57;109;25000000;67760877
162;The Dead Don't Die;2019;5.5;53;43686;R;https://imdb.com/title/tt8695030/;Comedy;Fantasy;Horror;Bill Murray;Adam Driver;Tom Waits;0;0;2;7;104;;15049363
163;Charlie's Angels;2019;4.7;52;42699;PG-13;https://imdb.com/title/tt5033998/;Action;Adventure;Comedy;Kristen Stewart;Naomi Scott;Ella Balinska;0;0;1;6;118;48000000;73279888
164;Pain and Glory;2019;7.6;87;42469;R;https://imdb.com/title/tt8291806/;Drama;;;Antonio Banderas;Asier Etxeandia;Leonardo Sbaraglia;0;2;57;162;113;;37137074
165;The Peanut Butter Falcon;2019;7.6;70;41898;PG-13;https://imdb.com/title/tt4364194/;Comedy;Drama;;Zack Gottsagen;Ann Owens;Dakota Johnson;0;0;21;16;97;6200000;22890626
166;Richard Jewell;2019;7.5;68;41710;R;https://imdb.com/title/tt3513548/;Biography;Crime;Drama;Paul Walter Hauser;Sam Rockwell;Brandon Stanley;0;1;6;11;131;45000000;43745542
167;Portrait of a Lady on Fire;2019;8.1;95;41622;R;https://imdb.com/title/tt8613070/;Drama;Romance;;Noémie Merlant;Adèle Haenel;Luàna Bajrami;235;1;43;125;122;;9745644
168;Always Be My Maybe;2019;6.8;64;41572;PG-13;https://imdb.com/title/tt7374948/;Comedy;Romance;;Ali Wong;Randall Park;James Saito;0;0;1;2;101;;
