,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
3660,Passionada,2002,6.1,53        ,1268,PG-13,https://imdb.com/title/tt0285879/,Comedy,Romance,Drama,Jason Isaacs,Sofia Milos,Emmy Rossum,0,0,0,0,108,,540833
3661,Point of Origin,2002,6.0,,1267,R,https://imdb.com/title/tt0285917/,Crime,Drama,Thriller,Ray Liotta,John Leguizamo,Colm Feore,0,1,,,86,,
3662,Teknolust,2002,5.3,43        ,1264,R,https://imdb.com/title/tt0270688/,Comedy,Drama,Romance,Tilda Swinton,Jeremy Davies,James Urbaniak,0,0,1,2,85,,28811
3663,The Dead Zone,2002,7.2,,1261,R,https://imdb.com/title/tt0341334/,Drama,Sci-Fi,Thriller,Anthony Michael Hall,Nicole de Boer,Chris Bruno,0,0,0,0,83,,
3664,Love and a Bullet,2002,5.1,,1257,R,https://imdb.com/title/tt0235553/,Action,Comedy,Crime,Kent King,Anthony 'Treach' Criss,Charles Guardino,0,0,0,0,85,,18926
3665,Dead Heat - Pari à haut risque,2002,5.3,,1246,R,https://imdb.com/title/tt0277744/,Action,Comedy,Crime,Kiefer Sutherland,Anthony LaPaglia,Radha Mitchell,0,0,0,2,,,
3666,The Red Siren,2002,5.3,,1242,R,https://imdb.com/title/tt0254775/,Crime,Thriller,Action,Jean-Marc Barr,Asia Argento,Frances Barber,0,0,0,0,118,,898227
3667,Springtime in a Small Town,2002,6.9,86        ,1241,PG,https://imdb.com/title/tt0332831/,Drama,Romance,,Jingfan Hu,Jun Wu,Bai Qing Xin,0,0,4,3,116,,57751
3668,Murder in Greenwich,2002,6.2,,1233,R,https://imdb.com/title/tt0339422/,Crime,Drama,Mystery,Christopher Meloni,Robert Forster,Maggie Grace,0,0,0,3,89,,
3669,Triggermen,2002,5.9,,1225,R,https://imdb.com/title/tt0283077/,Crime,Comedy,,Pete Postlethwaite,Neil Morrissey,Bill MacDonald,0,0,0,0,,12000000,20808
3670,The Barber,2002,5.7,,1216,R,https://imdb.com/title/tt0280462/,Crime,Horror,Mystery,Malcolm McDowell,Jeremy Ratchford,Garwin Sanford,0,0,2,8,94,1000000,
3671,The Guys,2002,6.3,60        ,1210,PG,https://imdb.com/title/tt0319470/,Drama,,,Sigourney Weaver,Anthony LaPaglia,Irene Walsh,0,0,1,2,84,,21366
3672,Infested,2002,2.8,,1205,R,https://imdb.com/title/tt0287497/,Action,Adventure,Comedy,Zach Galligan,Lisa Ann Hadley,Daniel Jenkins,0,0,0,0,84,,
3673,Unspeakable,2002,3.5,,1205,R,https://imdb.com/title/tt0277412/,Horror,Thriller,,Pavan Grover,Michelle Wolff,Mark Voltura,0,0,1,1,,2000000,
3674,Hansel & Gretel,2002,4.2,,1184,PG,https://imdb.com/title/tt0293832/,Comedy,Family,Fantasy,Lynn Redgrave,Jacob Smith,Taylor Momsen,0,0,0,0,,,154642
3675,Borderline,2002,5.3,,1179,R,https://imdb.com/title/tt0315312/,Crime,Thriller,,Gina Gershon,Michael Biehn,Sean Patrick Flanery,0,0,0,0,94,3700000,
3676,Living with the Dead,2002,7.1,,1178,PG-13,https://imdb.com/title/tt0289652/,Drama,Sci-Fi,Crime,Ted Danson,Mary Steenburgen,Diane Ladd,0,0,0,4,240,,
3677,13 Moons,2002,5.8,,1161,R,https://imdb.com/title/tt0276744/,Comedy,,,Jennifer Beals,Elizabeth Bracco,Steve Buscemi,0,0,0,0,93,2000000,
3678,American Gun,2002,6.3,,1150,R,https://imdb.com/title/tt0270197/,Drama,,,James Coburn,Virginia Madsen,Barbara Bain,0,0,1,3,89,,
3679,AKA,2002,6.2,64        ,1144,R,https://imdb.com/title/tt0317052/,Drama,Romance,,Matthew Leitch,Diana Quick,George Asprey,0,0,5,3,123,,49988
3680,Kiss the Bride,2002,5.4,,1133,R,https://imdb.com/title/tt0296711/,Comedy,Drama,Romance,Amanda Detmer,Sean Patrick Flanery,Brooke Langton,0,0,0,9,89,,
3681,One,2002,7.0,75        ,1133,R,https://imdb.com/title/tt0233418/,Thriller,Crime,Drama,Catherine Frot,Lucas Belvaux,Dominique Blanc,0,0,8,4,117,,987923
3682,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92        ,1605080,PG-13,https://imdb.com/title/tt0120737/,Action,Adventure,Drama,Elijah Wood,Ian McKellen,Orlando Bloom,10,4,114,124,178,93000000,887832826
